date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure
20200905,3,3.4,153,20.1,14.8,9.6,0,102100
20200906,6,8.1,201,20.6,15.3,10.1,0,102080
20200907,6,4.4,179,22,16,10,0,102290
20200908,5,1.9,142,25.7,20.9,16.1,0,102400
20200909,5,3.5,150,22.4,18.4,14.4,0,102350
20200910,4,2.3,121,20.4,14.7,9.1,0,102360
20200911,6,8.9,211,20.4,14.5,8.7,0.2,101760
20200912,5,5.5,184,22.7,17.5,12.4,0,101870
20200913,2,9.6,213,25.6,19.2,12.9,0,102310
20200914,0,12.8,231,29.6,20.5,11.4,0,102170
20200915,3,11.8,226,29.5,22.3,15.1,0,101780
20200916,5,9.3,195,26.6,22.6,18.6,0,102270
20200917,1,7.5,179,22.6,17.7,12.9,0,102830
20200918,3,11.9,220,22,15.8,9.7,0,102320
20200919,2,10.7,212,25.2,18.9,12.6,0,101750
20200920,0,10.9,202,25.2,19.4,13.7,0,101840
20200921,4,10.8,194,24.9,19.4,13.9,0,101780
20200922,3,8.3,173,25.7,18.9,12.2,1,101050
20200923,7,8.4,165,18.6,17,15.4,7,100080
20200924,5,0.6,86,16.9,12.5,8.1,3,99640
20200925,5,3.4,112,15.1,10.8,6.5,0.2,100090
20200926,4,6.2,164,13.6,10.1,6.6,0,101110
20200927,7,5,146,14.6,12.6,10.6,0,101260
20200928,3,1.6,92,18.2,13.2,8.2,2,101360
20200929,5,5.8,156,19.6,17.1,14.7,0.2,101490
20200930,7,4,130,18.1,14.1,10.2,3,100870
20201001,6,0.9,74,16.4,13.7,11,4,99820
20201002,8,2.1,94,13.2,11.5,9.9,30,98840
20201003,8,0,30,15.9,14.4,12.9,31,98680
20201004,8,0.3,57,11.1,10,8.9,5,98210
20201005,6,0.9,54,18.6,13.8,9.1,3.4,99390
20201006,5,3.7,124,17.5,14.2,10.9,0,99780
20201007,5,4.7,123,17,12.6,8.2,4,101170
20201008,7,5.1,132,,,12.2,0.4,101110
20201009,3,1.4,81,15.1,10.6,6.2,2,101860
20201010,4,2.9,86,14.1,9.5,4.9,0,102240
20201011,4,0.2,70,14.6,11.3,8.1,0,102490
20201012,7,6.1,111,13.6,9.9,6.2,4,102070
20201013,6,0,53,11.9,9,6.2,1.8,101050
20201014,5,0.6,69,14.9,11.6,8.4,2.2,101960
20201015,4,2.7,97,13.5,10.6,7.7,1,102430
20201016,3,4.9,111,14.2,10.7,7.2,0,102480
20201017,7,2.7,75,12.6,11.1,9.6,0,102270
20201018,7,0,51,13,9.9,6.9,0,102390
20201019,7,0.9,69,16.1,11.8,7.6,2,101660
20201020,7,2.9,97,18.9,15.5,12.1,4.2,100190
20201021,7,0.7,67,16.1,15.1,14.1,13,99650
20201022,4,0.8,36,17,14.3,11.6,0,100720
20201023,7,4.6,90,16.7,13.4,10.1,0,100840
20201024,7,2,59,16.2,12.1,8,21,100340
20201025,1,0.9,48,13,10.2,7.4,0.8,99620
20201026,3,3.1,75,13.5,10,6.5,0.4,99730
20201027,4,2.4,63,14.1,9.5,5,1,99860
20201028,6,0,36,13.9,10.9,8,2.2,100180
20201029,8,1,58,14.6,11.1,7.6,3,101130
20201030,8,0,28,16.2,15.2,14.2,0.2,101540
20201031,7,0,30,15.6,14.5,13.5,7,101240
20201101,8,0.7,29,17.2,13.7,10.2,0.4,100450
20201102,4,0.7,37,17.1,16.6,16.1,3.8,100360
20201103,4,3.7,74,11.5,8.8,6.2,2,101790
20201104,1,3.6,72,12.4,6.7,1.1,0,103200
20201105,4,6.9,86,10.9,6.2,1.5,0.2,103900
20201106,6,3,61,12,6.8,1.6,0.2,103040
20201107,4,2.9,67,15.4,9.7,4.1,0.2,102040
20201108,7,4.8,71,14.1,11.3,8.6,2,101810
20201109,7,0,34,16.4,13.2,10,7,101910
20201110,4,0,38,16.1,12.9,9.7,0,102270
20201111,8,2.5,55,14,10,6.1,6.2,101920
20201112,4,0.2,37,13.6,11.5,9.5,0,101260
20201113,4,4.4,66,12.9,11.2,9.5,1.4,101190
20201114,8,2.4,49,14.1,11.3,8.5,17,100820
20201115,4,0.7,23,13.6,12.8,12,6,99650
20201116,7,1.9,45,12.5,9.9,7.4,0.8,101060
20201117,7,0.4,35,14.6,12.6,10.7,0,101990
20201118,7,1.2,41,16,13.5,11.1,0.6,101700
20201119,4,1.6,40,10.6,9.2,7.9,0.2,102430
20201120,8,1.5,29,9.7,5.3,0.9,1,103380
20201121,7,0,27,12.6,11.1,9.6,0.2,102720
20201122,6,0.4,32,11.1,10.2,9.4,0.2,102630
20201123,7,2.8,45,10.5,6.3,2.1,0,102740
20201124,7,0.9,33,12.5,10.2,8,0,101840
20201125,7,1.5,40,13.7,10.4,7.1,0.2,101220
20201126,4,0.4,23,9,6.5,4.1,0,102080
20201127,7,0.8,34,6.5,2.9,-0.6,0.2,101970
20201128,8,1.6,35,10.1,7.6,5.1,0,101780
20201129,8,0,20,8.2,8.2,8.2,0,102540
20201130,7,0,17,10.2,7.6,5.1,0,102480
20201201,2,1,22,8,5.9,3.9,0,102520
20201202,7,5,51,7,4.5,2.1,0.4,101960
20201203,6,0,20,7.4,5.2,3.1,15,99340
20201204,7,0,8,5.7,4.4,3.2,0,97660
20201205,2,0.8,26,8.1,5.6,3.1,0,98950
20201206,7,2.4,37,5.2,3.6,2,0.2,100130
20201207,8,1,24,2.2,0.9,-0.3,3,99940
20201208,7,0.2,18,4.5,2.2,0,2.2,100280
20201209,7,1.3,33,6.6,4.5,2.4,0,100630
20201210,7,0,25,7.5,6,4.5,9,100000
20201211,6,0,16,11.2,9,6.9,0,98740
20201212,1,0.1,28,9.9,8.4,7,0,99720
20201213,8,0,27,11.1,5.8,0.5,6,100340
20201214,6,0.5,16,12.6,11.1,9.6,1.4,99870
20201215,2,2.4,32,11.6,8.6,5.6,1,100480
20201216,7,3.1,36,10.6,8.6,6.6,3.2,100710
20201217,3,1.1,25,11.6,8.9,6.2,0,101320
20201218,8,4.4,38,11.6,10.3,9,1.8,101130
20201219,3,0.5,15,12.5,11.2,9.9,9,100450
20201220,1,3.3,37,10.6,8.6,6.7,0.6,101170
20201221,8,3.9,37,13.9,9.5,5.1,3,100770
20201222,8,0,16,11.7,11.7,11.7,0.6,100970
20201223,7,0,23,14,12,10.1,1.8,100550
20201224,2,1.3,32,6.1,6.1,6.1,0,101830
20201225,6,3.5,40,4.6,2.6,0.7,0,103100
20201226,,2.1,38,10,4.9,-0.1,12,101960
20201227,1,0.9,32,7.5,7.5,7.6,2,98000
20201228,7,3.7,38,3.6,1.1,-1.3,0.2,97370
20201229,7,0,21,4.1,2.6,1.1,0,98830
20201230,6,0.4,22,5.6,2.7,-0.1,0,100200
20201231,7,1.3,34,1.5,-0.8,-3.1,0,100500
